qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.12813560839144345,1.0,0.5,0.00715307582260372,0.6776324316061217,0.49593554240548454
2,0.05853873277200261,0.5,0.6,0.01791044776119403,0.5997014830254164,0.5527460588826717
3,0.19768831529973213,1.0,0.9,0.013803680981595092,0.7464935989095636,0.9363792118010483
4,0.05350642750705221,0.1,0.1,0.001763668430335097,0.5829981910465336,0.06362078819895171
5,0.13493546382252228,0.3333333333333333,0.4,0.006191950464396285,0.6663293833224972,0.21905409041525228
6,0.21253150870918638,1.0,0.8,0.008048289738430584,0.7777028459628098,0.8603818544462509
7,0.33996793857341273,1.0,1.0,0.019083969465648856,0.8070400707160592,1.0
8,0.041026446285653224,0.125,0.1,0.0015432098765432098,0.5790586770987267,0.06943122193677727
9,0.06796057881546956,1.0,0.5,0.023923444976076555,0.5439556492977256,0.45186484096594276
10,0.2510895355079597,1.0,0.6,0.012072434607645875,0.7571232079870215,0.7125523635307982
11,0.08476535542072801,1.0,0.5,0.011312217194570135,0.6255852537949003,0.5747124023406713
12,0.05554032791022233,1.0,0.5,0.007716049382716049,0.5730647514502014,0.2883441024473532
13,0.11832075396302451,1.0,0.5,0.005434782608695652,0.683382526865215,0.5955988517897014
14,0.02353686170192585,1.0,0.3,0.01098901098901099,0.49350288332314124,0.40634839235641007
15,0.11991686446423226,1.0,0.9,0.020179372197309416,0.6514852653475683,0.7680943658500918
16,0.1287652659267165,1.0,1.0,0.024390243902439025,0.6533308008298352,0.9633180389503199
17,0.15567619593120077,1.0,1.0,0.01394700139470014,0.6895239402048617,0.9102614474570914
18,0.2480158025687273,1.0,0.6,0.009009009009009009,0.7258807934435046,0.55206785919664
19,0.14026647253638144,1.0,1.0,0.08547008547008547,0.5670395805673655,0.7666788391271666
20,0.3460293220183945,1.0,1.0,0.013210039630118891,0.8096235064036925,1.0
21,0.19641417564206903,1.0,0.7,0.0106544901065449,0.7543572700897216,0.7753366239771086
22,0.23937806037300205,1.0,0.8,0.013445378151260505,0.7525177992754127,0.7951657524814092
23,0.16291151815765323,1.0,0.9,0.02278481012658228,0.6809911300719985,0.8571256919305578
24,0.2996632572591027,1.0,0.9,0.02,0.7731832312775554,0.933745776545611
25,0.04752634189401859,0.058823529411764705,0.0,0.0,0.5878298749292958,0.0
26,0.1135180277473607,1.0,0.6,0.007211538461538462,0.7029042923717065,0.6437684113853992
27,0.1299939992940538,1.0,1.0,0.011098779134295227,0.7030690233136072,0.9608008655106622
28,0.4224028400116538,1.0,0.9,0.014586709886547812,0.825165702213204,0.8611375561264454
29,0.2225142113652224,1.0,0.6,0.009244992295839754,0.747361479950361,0.6431211415940209
30,0.3664807393627442,1.0,1.0,0.024752475247524754,0.7963736263896283,0.9526058178152246
31,0.04563865012738678,0.2,0.5,0.013477088948787063,0.5585581604619665,0.357813273331099
32,0.07783614558586115,0.3333333333333333,0.4,0.017467248908296942,0.5945881427877094,0.3633412872595719
33,0.0815674518308513,0.5,0.7,0.02280130293159609,0.6028470484431566,0.576489512906254
34,0.043248860717784325,0.16666666666666666,0.4,0.020202020202020204,0.5078174246774718,0.2429888916004047
35,0.04967343891945733,0.2,0.3,0.012552301255230125,0.5509057444923228,0.23690530871965634
36,0.4012083288980684,1.0,0.9,0.013293943870014771,0.8511493202781328,0.8611375561264454
37,0.24151405976758716,1.0,0.7,0.01364522417153996,0.7458664129477277,0.5835992115512251
38,0.26966512547643884,1.0,0.9,0.006507592190889371,0.7968276123145205,0.8649816397829796
39,0.38188018155206316,1.0,0.8,0.008188331627430911,0.8056749103927343,0.572665346059548
40,0.4198515249085377,1.0,1.0,0.017006802721088437,0.8495726903446144,1.0
41,0.36069042317580263,1.0,0.9,0.025280898876404494,0.7624650714108013,0.8611375561264454
42,0.35206037889480407,1.0,1.0,0.03597122302158273,0.736571372241324,1.0
43,0.10552325300435088,1.0,0.6,0.02,0.6064912725690302,0.6584133326830772
44,0.2468578354220597,1.0,1.0,0.01845018450184502,0.7330213108341807,1.0
45,0.32209953082199333,1.0,0.9,0.009988901220865706,0.7915872305507045,0.7961140717417743
46,0.15165743161659337,1.0,0.9,0.045,0.6446389797227008,0.850204159003256
47,0.1613988970414454,1.0,0.5,0.01072961373390558,0.693870182798202,0.5958595188912912
48,0.19425024499757815,1.0,0.9,0.018711018711018712,0.7048833192512716,0.8945466420562732
49,0.17741836815612383,0.5,0.4,0.0149812734082397,0.6639496548968286,0.3277609729266243
50,0.10153420373860526,1.0,0.5,0.03355704697986577,0.5924405695810027,0.5955988517897014
