qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.15004010883863994,1.0,0.7,0.010014306151645207,0.7027118136227515,0.6888408459796015
2,0.19477270144930656,0.5,0.8,0.023880597014925373,0.7070425371818212,0.63498395965538
3,0.028513797380835884,0.16666666666666666,0.1,0.0015337423312883436,0.5493242102234598,0.07839826897867533
4,0.012179971638005221,0.03571428571428571,0.0,0.0,0.4899353824806384,0.0
5,0.02929476128871763,0.04,0.0,0.0,0.5504817249905591,0.0
6,0.1452079358012352,1.0,0.4,0.004024144869215292,0.7249729040278812,0.39170347105873193
7,0.11843893773454278,0.2,0.5,0.009541984732824428,0.6773149724829403,0.36284762021041433
8,0.029427159641559626,0.08333333333333333,0.0,0.0,0.5555797890911197,0.0
9,0.008031055283778975,0.06666666666666667,0.0,0.0,0.41997035664071664,0.0
10,0.11581932493244229,0.3333333333333333,0.4,0.008048289738430584,0.6519669102047685,0.3053976638688123
11,0.019315144399918563,0.0625,0.0,0.0,0.5040481908022862,0.0
12,0.023708144759970372,0.05263157894736842,0.0,0.0,0.5380069411299044,0.0
13,0.027570588010273504,0.1111111111111111,0.1,0.0010869565217391304,0.5596351641153627,0.033127111727194514
14,0.009176313075102749,0.07142857142857142,0.0,0.0,0.4320343328814543,0.0
15,0.09789195104475679,1.0,0.9,0.020179372197309416,0.6298670232424387,0.7701443318271896
16,0.06660718641613333,1.0,0.7,0.01707317073170732,0.5945516257718707,0.7222954974312066
17,0.15434544069662173,1.0,0.9,0.012552301255230125,0.6970636633644851,0.8119696414405493
18,0.10108619294396286,1.0,0.7,0.010510510510510511,0.6446486691220344,0.617526889857339
19,0.0297454222418117,1.0,0.2,0.017094017094017096,0.4607244167447828,0.2567737273477602
20,0.07106814476192327,1.0,0.5,0.0066050198150594455,0.6419941861692947,0.5369287945742588
21,0.1390063562095551,1.0,0.8,0.0121765601217656,0.7092367886831187,0.7471589728148227
22,0.22734119568331448,1.0,0.9,0.015126050420168067,0.7475383416654701,0.9363792118010483
23,0.027796455142601154,1.0,0.3,0.007594936708860759,0.519530869407501,0.2578753740644926
24,0.05864672885499825,0.3333333333333333,0.4,0.008888888888888889,0.5963879089543355,0.34948673995165525
25,0.016850944532643082,0.037037037037037035,0.0,0.0,0.5263658392827261,0.0
26,0.0830504016134859,1.0,0.5,0.006009615384615385,0.6631778127608342,0.45821590547297664
27,0.0347363613785188,0.125,0.1,0.0011098779134295228,0.5789368109315773,0.06943122193677727
28,0.1456228886257158,1.0,0.8,0.012965964343598054,0.6901531476556637,0.7510916729774053
29,0.1191907253209602,0.5,0.4,0.0061633281972265025,0.6767280145776866,0.32905177009446723
30,0.038793509460090234,0.16666666666666666,0.2,0.0049504950495049506,0.5467921154922788,0.1478294909154526
31,0.006136551219906492,0.16666666666666666,0.1,0.0026954177897574125,0.4365669458724054,0.07839826897867533
32,0.01119170510326474,0.01020408163265306,0.0,0.0,0.45018916547232707,0.0
33,0.013734978681176787,0.013333333333333334,0.0,0.0,0.46736135647859195,0.0
34,0.006345571504359242,0.043478260869565216,0.0,0.0,0.4013295735296222,0.0
35,0.022117299913543595,1.0,0.2,0.008368200836820083,0.5011820993399375,0.25929090078741784
36,0.07321520129718846,1.0,0.6,0.008862629246676515,0.6597815502896962,0.6906478832608419
37,0.060949826034039735,0.08333333333333333,0.0,0.0,0.5997890098022098,0.0
38,0.0864039913455032,0.5,0.5,0.0036153289949385392,0.6776484508951811,0.46299204139243627
39,0.06580711104438876,1.0,0.7,0.007164790174002047,0.6322240602457516,0.46700390558832394
40,0.06292149858322646,0.5,0.5,0.008503401360544218,0.6211079718982254,0.4037626302686116
41,0.0998530788660991,1.0,0.6,0.016853932584269662,0.6196693343551666,0.6413674997615212
42,0.01767876191790308,0.03333333333333333,0.0,0.0,0.47886702216024113,0.0
43,0.07960222129121938,0.5,0.6,0.02,0.5710039327222868,0.5160457231896907
44,0.03661647212977104,0.5,0.2,0.0036900369003690036,0.5617232828070433,0.21222636597291458
45,0.2110228232963121,1.0,1.0,0.011098779134295227,0.748194119651491,0.7596592991547714
46,0.017662017452122664,1.0,0.2,0.01,0.4245421554826693,0.16506882472356013
47,0.006608787604423564,0.038461538461538464,0.0,0.0,0.4658309349371777,0.0
48,0.02601798611740165,1.0,0.1,0.002079002079002079,0.5244826796580796,0.11004588314904008
49,0.03170466929588166,0.125,0.1,0.003745318352059925,0.5084946391302666,0.06943122193677727
50,0.01782099221651845,0.1111111111111111,0.1,0.006711409395973154,0.40967228581874376,0.033127111727194514
