qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.03134604951478212,0.5,0.6,0.008583690987124463,0.08696815834029131,0.29039326637433793
2,0.0345371458730112,0.3333333333333333,0.6,0.01791044776119403,0.10939537458640901,0.5079937796926363
3,0.06462680472027861,1.0,0.7,0.010736196319018405,0.18161710777937665,0.6777277508780454
4,0.007959191991008122,0.3333333333333333,0.1,0.001763668430335097,0.0423369678831944,0.05502294157452004
5,0.017641932825739993,0.3333333333333333,0.4,0.006191950464396285,0.06605868530674823,0.21049665682704413
6,0.041793448637324704,1.0,0.6,0.006036217303822937,0.12322108435300608,0.7116179486056782
7,0.13484307448159003,1.0,1.0,0.019083969465648856,0.23259790045028467,0.8507549823616222
8,0.00860112724117345,0.5,0.4,0.006172839506172839,0.05774978014843563,0.3529461582433962
9,0.037030409006789035,1.0,0.4,0.019138755980861243,0.15610575889577033,0.4567364079161469
10,0.09867389881704784,1.0,0.8,0.01609657947686117,0.21050786743011055,0.7926485790417516
11,0.04730678821765167,1.0,0.7,0.01583710407239819,0.15376573614536845,0.6558462937344524
12,0.021912530398438428,1.0,0.6,0.009259259259259259,0.059354802176380214,0.32156057079701045
13,0.019516683897178973,1.0,0.5,0.005434782608695652,0.06935664410344104,0.33712889393498324
14,0.03593073593073593,1.0,0.9,0.03296703296703297,0.13005887534003308,0.9019353824461352
15,0.07344595751404263,1.0,0.9,0.020179372197309416,0.17638371297068436,0.7099363809959341
16,0.08931715922242828,1.0,0.8,0.01951219512195122,0.20824107680806275,0.6747562005130333
17,0.0648264481925739,1.0,0.9,0.012552301255230125,0.14749163122291917,0.8239985802033633
18,0.0713850034329751,0.3333333333333333,0.5,0.0075075075075075074,0.16332848237403724,0.3138424547848031
19,0.07334517099727733,0.5,0.5,0.042735042735042736,0.25556045300603925,0.5022037311331264
20,0.09307982321211772,1.0,1.0,0.013210039630118891,0.20025254792566138,0.9227128302108009
21,0.03263890801257328,1.0,0.5,0.0076103500761035,0.10893606802863842,0.4954588824701808
22,0.07657643052169298,1.0,1.0,0.01680672268907563,0.1894081289447899,1.0
23,0.07664114947575068,1.0,0.8,0.020253164556962026,0.18565561304956213,0.611913424135125
24,0.13664687505929884,1.0,1.0,0.022222222222222223,0.26755138980702314,0.9633180389503199
25,0.003500749625187406,1.0,0.3,0.0052173913043478265,0.028064937007592168,0.3843113526044082
26,0.020839384537485413,0.3333333333333333,0.7,0.008413461538461538,0.07894403569867031,0.5676818677290053
27,0.05042002603840423,0.3333333333333333,0.7,0.00776914539400666,0.13492819029905082,0.5070582909694767
28,0.10953907208149573,1.0,0.9,0.014586709886547812,0.21242240340151908,0.8899541168509599
29,0.053116221167096224,1.0,0.6,0.009244992295839754,0.13949532655214,0.5168426399562215
30,0.19250765309988913,1.0,1.0,0.024752475247524754,0.35190348796560833,0.9668728882728055
31,0.019163975853007446,1.0,0.4,0.01078167115902965,0.09639973240672077,0.43269598311109203
32,0.02731600583388947,0.25,0.4,0.017467248908296942,0.11525635842577502,0.26952201012470817
33,0.05495859817639778,1.0,0.8,0.026058631921824105,0.15204590919863833,0.8603818544462509
34,0.024559640526499945,1.0,0.4,0.020202020202020204,0.1290257509552359,0.4412851793128928
35,0.04262892784704191,0.5,0.7,0.029288702928870293,0.13335156374185828,0.5914640815742043
36,0.07729440047933783,1.0,0.9,0.013293943870014771,0.1738464165944662,0.9052116356304493
37,0.06454273972770912,1.0,0.7,0.01364522417153996,0.14800286967518542,0.6766261041613127
38,0.054320297229543936,1.0,1.0,0.0072306579898770785,0.12274585374193762,1.0
39,0.08513910775169413,1.0,1.0,0.01023541453428864,0.1745856175136913,1.0
40,0.13985793176032751,1.0,1.0,0.017006802721088437,0.25774072609373727,1.0
41,0.19919659276979873,1.0,1.0,0.028089887640449437,0.33178648174916814,0.9681896059005243
42,0.2931692651475336,1.0,1.0,0.03597122302158273,0.40263635369845563,0.8281516543039273
43,0.08981043161562742,1.0,1.0,0.03333333333333333,0.20908021708478033,1.0
44,0.10619316961412494,1.0,0.8,0.014760147601476014,0.21410928374638352,0.8115558478722846
45,0.06666733386073605,1.0,0.9,0.009988901220865706,0.13997684594453355,0.7854388855784404
46,0.08789143329337838,1.0,1.0,0.05,0.23420379535605082,1.0
48,0.004158004158004158,1.0,0.2,0.004158004158004158,0.028803534921146505,0.3589542101716347
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.006711409395973154,1.0,0.1,0.006711409395973154,0.024361859851186704,0.11004588314904008
47,0.0,0.0,0.0,0.0,0.0,0.0
