qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.039081888115745235,1.0,0.8,0.011444921316165951,0.10077313626778088,0.5819315482767261
2,0.03709844218799442,1.0,0.8,0.023880597014925373,0.12239796733108174,0.7582013716223763
3,0.06569423889708426,1.0,0.8,0.012269938650306749,0.18308165911276142,0.7194670819334041
4,0.008204451151075827,0.2,0.3,0.005291005291005291,0.04425122567275886,0.15568543876787447
5,0.012800381823853702,0.2,0.2,0.0030959752321981426,0.059431499569737735,0.10882578227519953
6,0.04436393179550387,1.0,1.0,0.01006036217303823,0.12672762965690168,1.0
7,0.13877069368450917,1.0,0.9,0.01717557251908397,0.23874704254956608,0.8899541168509599
8,0.007303952356387924,0.5,0.3,0.004629629629629629,0.05488777388090155,0.27622236706391584
9,0.046115453544134086,1.0,0.6,0.028708133971291867,0.15520966251552107,0.5160457231896907
10,0.0936114342556528,1.0,0.9,0.018108651911468814,0.2113749100357812,0.9305687780632227
11,0.05698822289353797,1.0,0.9,0.020361990950226245,0.16305197413313544,0.8354025628535746
12,0.020972857439211675,1.0,0.5,0.007716049382716049,0.056567073617591855,0.2537697013836409
13,0.02015196311429612,0.5,0.6,0.006521739130434782,0.06785262145180235,0.3299702517037729
14,0.03663003663003663,1.0,1.0,0.03663003663003663,0.12999268676524153,0.9321572773044168
15,0.07066473903020891,1.0,0.8,0.017937219730941704,0.17096059081576928,0.6600465953959358
16,0.09872673263275268,1.0,1.0,0.024390243902439025,0.2201259546082869,0.9305687780632227
17,0.07357411359502584,1.0,1.0,0.01394700139470014,0.14780851680550275,0.7558254080873952
18,0.07618757260737569,0.3333333333333333,0.6,0.009009009009009009,0.16869442616552313,0.45334433852277245
19,0.07636723342363781,1.0,0.5,0.042735042735042736,0.26173601381188843,0.4629178779693738
20,0.08680442420625951,1.0,0.8,0.010568031704095112,0.19488407226803514,0.7759944384848244
21,0.029531770121218874,1.0,0.4,0.0060882800608828,0.10494338500315069,0.4124497136428909
22,0.07285978857812869,1.0,0.7,0.011764705882352941,0.18516314263988995,0.7720617383222417
23,0.08530721821352412,1.0,1.0,0.02531645569620253,0.20192438158987558,0.8103811421993551
24,0.1293955123438132,1.0,1.0,0.022222222222222223,0.2657388754902889,1.0
25,0.00494824016563147,1.0,0.3,0.0052173913043478265,0.03232459433820497,0.4537425745411855
26,0.019130868508742772,0.5,0.5,0.006009615384615385,0.07835236803655238,0.47870393709728
27,0.0534783620150865,1.0,0.8,0.008879023307436182,0.1491443958743949,0.786470018684499
28,0.11296992282644583,1.0,0.9,0.014586709886547812,0.21392309984928898,0.8899541168509599
29,0.05467451560833234,1.0,0.6,0.009244992295839754,0.14105220342914598,0.494715441531644
30,0.19155603994888928,1.0,0.9,0.022277227722772276,0.3519042136421115,0.914856882358379
31,0.01399956778950654,1.0,0.3,0.008086253369272238,0.08829487576228946,0.3466905247671068
32,0.02933296303443755,0.5,0.4,0.017467248908296942,0.12340303060413171,0.3198190465162017
33,0.05166796866655514,1.0,0.9,0.029315960912052116,0.14594433446533905,0.8568270051237654
34,0.021647909940313174,0.5,0.2,0.010101010101010102,0.11682464868218169,0.23365080824310533
35,0.041338377775520324,1.0,0.5,0.02092050209205021,0.13139546404235922,0.4299603606959863
36,0.0767410104434314,1.0,0.7,0.0103397341211226,0.17037435586332775,0.7093753650484099
37,0.06957315316911596,1.0,0.8,0.015594541910331383,0.14107284643813917,0.53714916851224
38,0.05258086226075706,0.5,0.9,0.006507592190889371,0.11711168324747731,0.7451926227335312
39,0.08150577774840241,1.0,1.0,0.01023541453428864,0.16972146740351174,0.8913696435738849
40,0.1361422906681732,1.0,1.0,0.017006802721088437,0.2569467481890267,1.0
41,0.18828948083312158,1.0,0.8,0.02247191011235955,0.3184726582871094,0.7216356723884759
42,0.2930520577586394,1.0,1.0,0.03597122302158273,0.4023944835449427,0.8507549823616222
43,0.10493577771814848,1.0,1.0,0.03333333333333333,0.21264203898977282,0.9526058178152246
44,0.10247971205564455,0.3333333333333333,0.8,0.014760147601476014,0.19975915024229382,0.5653471192803602
45,0.05953422934073315,1.0,0.7,0.00776914539400666,0.1370471645307603,0.7600791051976192
46,0.08924696969696971,1.0,1.0,0.05,0.23494748284309153,1.0
48,0.004158004158004158,1.0,0.2,0.004158004158004158,0.028803534921146505,0.3589542101716347
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.006711409395973154,1.0,0.1,0.006711409395973154,0.024361859851186704,0.11004588314904008
47,0.0,0.0,0.0,0.0,0.0,0.0
