qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.015550199937641692,1.0,0.1,0.001430615164520744,0.5221481531446901,0.22009176629808017
2,0.00855194711039054,0.017857142857142856,0.0,0.0,0.45724226905129317,0.0
3,0.0968986489754493,0.5,0.7,0.010736196319018405,0.6311270746937373,0.5757304331615976
4,0.0048392946650228025,0.011363636363636364,0.0,0.0,0.44500987692784194,0.0
5,0.027132347263433023,0.5,0.2,0.0030959752321981426,0.5385891332814914,0.18143400269436502
6,0.04858217712140979,1.0,0.8,0.008048289738430584,0.6086816871769402,0.8389574121760602
7,0.08935312733501515,1.0,0.8,0.015267175572519083,0.6250032248185273,0.8115558478722846
8,0.011302725711980075,0.25,0.1,0.0015432098765432098,0.4951038586473883,0.04739418218477539
9,0.0028628419188840635,0.0625,0.0,0.0,0.37340741963702334,0.0
10,0.01240984784902029,1.0,0.3,0.006036217303822937,0.49388530910948386,0.36885567213865283
11,0.00423215443123103,0.1111111111111111,0.1,0.0022624434389140274,0.4349940382342888,0.06625422345438903
12,0.0038552072843077135,0.003246753246753247,0.0,0.0,0.4520888821633163,0.0
13,0.010736121751494833,0.09090909090909091,0.0,0.0,0.5057943897844802,0.0
14,0.0025137359751060597,0.001890359168241966,0.0,0.0,0.3799370670319704,0.0
15,0.010863327253250748,1.0,0.3,0.006726457399103139,0.45855971724015887,0.251902160397556
16,0.014339607390215671,1.0,0.4,0.00975609756097561,0.46077785164016766,0.4537425745411855
17,0.03666703014666498,1.0,1.0,0.01394700139470014,0.5438587295783001,0.692155676302204
18,0.027062614416013542,0.5,0.8,0.012012012012012012,0.5343041323622314,0.5998904978468941
19,0.07633507057614448,1.0,0.7,0.05982905982905983,0.47896127046529297,0.6897090164732205
20,0.020424983625468754,1.0,0.7,0.009247027741083224,0.5382545836587979,0.7258435322289963
21,0.020235628659898905,0.25,0.3,0.0045662100456621,0.5446003402906695,0.24936270394794902
22,0.011227738522871082,1.0,0.3,0.005042016806722689,0.49409919272356906,0.42520843362602373
23,0.05529894207381232,1.0,1.0,0.02531645569620253,0.5394734068943432,1.0
24,0.023693529465893443,1.0,0.7,0.015555555555555555,0.5064576100167612,0.7591402384099978
25,0.0053002626428295015,0.045454545454545456,0.0,0.0,0.4609973665730571,0.0
26,0.00978102365526985,0.16666666666666666,0.1,0.001201923076923077,0.5171575596271295,0.07839826897867533
27,0.00814167171901805,0.025,0.0,0.0,0.4954152697129065,0.0
28,0.025068126041544393,1.0,0.8,0.012965964343598054,0.538667393447212,0.8200685179888283
29,0.02838990557786636,1.0,0.5,0.007704160246533128,0.5596943126525932,0.5478527392247046
30,0.11937182197049058,1.0,1.0,0.024752475247524754,0.6119876304548255,0.8831745958784475
31,0.009683058617727535,0.2,0.2,0.005390835579514825,0.4528657947263213,0.11695351174109685
32,0.009264375874612603,1.0,0.1,0.004366812227074236,0.4267549726633411,0.22009176629808017
33,0.07280693687751405,1.0,0.4,0.013029315960912053,0.5550553332486201,0.3544604940615278
34,0.0015607528653619684,0.0022988505747126436,0.0,0.0,0.3551225464427745,0.0
35,0.01021036978980505,1.0,0.2,0.008368200836820083,0.42084533394774,0.3589542101716347
36,0.037405378062339116,0.3333333333333333,0.3,0.004431314623338257,0.5661223796720334,0.28323251649726616
37,0.030731264442991478,0.2,0.5,0.009746588693957114,0.5317082505827316,0.21558859771522956
38,0.02121927982719897,1.0,0.6,0.004338394793926247,0.5727598750118614,0.6809047493604335
39,0.034834148995659765,1.0,1.0,0.01023541453428864,0.5357887562693429,0.6769402865842581
40,0.02332889404911167,1.0,0.6,0.01020408163265306,0.535784273105552,0.6724188141163405
41,0.0955644783604188,1.0,0.9,0.025280898876404494,0.5731155415575622,0.862464466343322
42,0.13286624398116847,1.0,1.0,0.03597122302158273,0.5948992133196573,1.0
43,0.026987364089847882,1.0,0.6,0.02,0.48584744555045306,0.6807419694313224
44,0.08226785724674493,1.0,0.9,0.016605166051660517,0.6030334266022,0.8899541168509599
45,0.007470071209405286,0.5,0.2,0.0022197558268590455,0.5016914595403448,0.1780615783628922
46,0.036559439931661004,1.0,0.7,0.035,0.4503723734454222,0.6473430760906524
47,0.00545302524679778,0.16666666666666666,0.2,0.004291845493562232,0.4473197628686878,0.15176219107803537
48,0.03327229494587709,1.0,0.9,0.018711018711018712,0.5299577755377469,0.9216017310213247
49,0.038518738945128944,1.0,0.3,0.011235955056179775,0.49621495404218224,0.3041679095325356
50,0.06648532037631358,0.5,0.5,0.03355704697986577,0.47171688991936234,0.3487242237467647
