qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.027745993047341277,1.0,0.5,0.00715307582260372,0.09610325721695345,0.49593554240548454
2,0.025480019984678214,0.5,0.6,0.01791044776119403,0.10573552068416686,0.5527460588826717
3,0.07622464643728193,1.0,0.9,0.013803680981595092,0.1982166020460438,0.9363792118010483
4,0.0045816220185609805,0.1,0.1,0.001763668430335097,0.0374190631947449,0.06362078819895171
5,0.01568518803087678,0.3333333333333333,0.4,0.006191950464396285,0.06416178824527402,0.21905409041525228
6,0.043482886342819764,1.0,0.8,0.008048289738430584,0.125911136685033,0.8603818544462509
7,0.14396208981167746,1.0,1.0,0.019083969465648856,0.24284560704704827,1.0
8,0.004454776201509145,0.125,0.1,0.0015432098765432098,0.043467029533387616,0.06943122193677727
9,0.05265345181951401,1.0,0.5,0.023923444976076555,0.1596160108369683,0.45186484096594276
10,0.07923177637757668,1.0,0.6,0.012072434607645875,0.20174526366949505,0.7125523635307982
11,0.0445226620458406,1.0,0.5,0.011312217194570135,0.15189755911621114,0.5747124023406713
12,0.01959589178544153,1.0,0.5,0.007716049382716049,0.05715836673427049,0.2883441024473532
13,0.018801788262988055,1.0,0.5,0.005434782608695652,0.07936023418251974,0.5955988517897014
14,0.015411543345107435,1.0,0.3,0.01098901098901099,0.09695411617475051,0.40634839235641007
15,0.0681226031391754,1.0,0.9,0.020179372197309416,0.17518850691578944,0.7680943658500918
16,0.09159555150826557,1.0,1.0,0.024390243902439025,0.21949492646604984,0.9633180389503199
17,0.06495079872179632,1.0,1.0,0.01394700139470014,0.14797536511350268,0.9102614474570914
18,0.07947756411735644,1.0,0.6,0.009009009009009009,0.17452147957960523,0.55206785919664
19,0.13109408143076873,1.0,1.0,0.08547008547008547,0.29297043411582036,0.7666788391271666
20,0.09933515706842512,1.0,1.0,0.013210039630118891,0.2060358629422441,1.0
21,0.03799683063566539,1.0,0.7,0.0106544901065449,0.12023795845071611,0.7753366239771086
22,0.07148151245596236,1.0,0.8,0.013445378151260505,0.18245608338853014,0.7951657524814092
23,0.08313265854306072,1.0,0.9,0.02278481012658228,0.20495509567826195,0.8571256919305578
24,0.13082823737237628,1.0,0.9,0.02,0.2644556231340782,0.933745776545611
25,0.0003178898487866395,0.058823529411764705,0.0,0.0,0.010472982548172858,0.0
26,0.01965596923699696,1.0,0.6,0.007211538461538462,0.08294043916255238,0.6437684113853992
27,0.05833713452932629,1.0,1.0,0.011098779134295227,0.15442688526108744,0.9608008655106622
28,0.1055092574438167,1.0,0.9,0.014586709886547812,0.20931806069548559,0.8611375561264454
29,0.05504835749408072,1.0,0.6,0.009244992295839754,0.14716428756217595,0.6431211415940209
30,0.19708540835617483,1.0,1.0,0.024752475247524754,0.3564001323118886,0.9526058178152246
31,0.01448175373097992,0.2,0.5,0.013477088948787063,0.07827835065160212,0.357813273331099
32,0.030759229741507375,0.3333333333333333,0.4,0.017467248908296942,0.12380978421902644,0.3633412872595719
33,0.038589531191455265,0.5,0.7,0.02280130293159609,0.1228638743920184,0.576489512906254
34,0.019892118505136672,0.16666666666666666,0.4,0.020202020202020204,0.10318022908683794,0.2429888916004047
35,0.022633323809499308,0.2,0.3,0.012552301255230125,0.10602316120085316,0.23690530871965634
36,0.07796072456558607,1.0,0.9,0.013293943870014771,0.1741966485787545,0.8611375561264454
37,0.06423370617207502,1.0,0.7,0.01364522417153996,0.14209996334690247,0.5835992115512251
38,0.05315420823638406,1.0,0.9,0.006507592190889371,0.12187548453208528,0.8649816397829796
39,0.08274330476046796,1.0,0.8,0.008188331627430911,0.16434196959770217,0.572665346059548
40,0.1340133445448853,1.0,1.0,0.017006802721088437,0.2545520942633453,1.0
41,0.18648106202179787,1.0,0.9,0.025280898876404494,0.32188042067623374,0.8611375561264454
42,0.293166095549374,1.0,1.0,0.03597122302158273,0.41210552935636746,1.0
43,0.06908307230364022,1.0,0.6,0.02,0.19236948767588918,0.6797239386103962
44,0.11607060774514444,1.0,1.0,0.01845018450184502,0.2233680405065748,1.0
45,0.05925245797804517,1.0,0.9,0.009988901220865706,0.13624930207262437,0.7961140717417743
46,0.11937357627194388,1.0,0.9,0.045,0.28266826776179094,0.850204159003256
47,0.045094656240125805,1.0,0.5,0.01072961373390558,0.14766942720710202,0.5958595188912912
48,0.1131692341050608,1.0,0.9,0.018711018711018712,0.23623341968341438,0.8945466420562732
49,0.07080701882750569,0.5,0.4,0.0149812734082397,0.2002617961716763,0.3277609729266243
50,0.0599460037763427,1.0,0.5,0.03355704697986577,0.2007519992311931,0.5955988517897014
