qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.035994005583806166,1.0,0.7,0.010014306151645207,0.11436563451672997,0.6888408459796015
2,0.08598501643748659,0.5,0.8,0.023880597014925373,0.199915708135205,0.63498395965538
3,0.0016649234384810763,0.16666666666666666,0.1,0.0015337423312883436,0.023441495194528986,0.07839826897867533
4,0.00010307153164296021,0.03571428571428571,0.0,0.0,0.0030687881737108394,0.0
5,0.0002519707573431849,0.04,0.0,0.0,0.006355962654176132,0.0
6,0.018767242708966105,1.0,0.4,0.004024144869215292,0.07754499633691514,0.39170347105873193
7,0.03174696014346416,0.2,0.5,0.009541984732824428,0.10429460440750504,0.36284762021041433
8,0.0014034121338223123,0.08333333333333333,0.0,0.0,0.021450986677461523,0.0
9,0.0007974481658692186,0.06666666666666667,0.0,0.0,0.01656452502259959,0.0
10,0.03007857807587262,0.3333333333333333,0.4,0.008048289738430584,0.09746334429003242,0.3053976638688123
11,0.0011762136616433173,0.0625,0.0,0.0,0.013450708053113795,0.0
12,0.0014719086460070864,0.05263157894736842,0.0,0.0,0.021633750013683395,0.0
13,0.0004421899158349426,0.1111111111111111,0.1,0.0010869565217391304,0.006561055252815104,0.033127111727194514
14,0.0015760150213931727,0.07142857142857142,0.0,0.0,0.02001444016612764,0.0
15,0.04642775271354638,1.0,0.9,0.020179372197309416,0.1368967166846725,0.7701443318271896
16,0.028837912299029055,1.0,0.7,0.01707317073170732,0.12291692830992074,0.7222954974312066
17,0.0435180569834083,1.0,0.9,0.012552301255230125,0.12311072269853654,0.8119696414405493
18,0.022590023279529678,1.0,0.7,0.010510510510510511,0.09594647972504132,0.617526889857339
19,0.01691828407952519,1.0,0.2,0.017094017094017096,0.11401814560124632,0.2567737273477602
20,0.016220764580765813,1.0,0.5,0.0066050198150594455,0.08466954585340677,0.5369287945742588
21,0.0407264456724091,1.0,0.8,0.0121765601217656,0.1164543292672356,0.7471589728148227
22,0.06866638626683014,1.0,0.9,0.015126050420168067,0.17073584385268673,0.9363792118010483
23,0.010110653263981152,1.0,0.3,0.007594936708860759,0.052036117201462104,0.2578753740644926
24,0.013360392651435349,0.3333333333333333,0.4,0.008888888888888889,0.07808105356526165,0.34948673995165525
25,0.00023585843012299997,0.037037037037037035,0.0,0.0,0.006592837306038524,0.0
26,0.013949698135464898,1.0,0.5,0.006009615384615385,0.06310610170502319,0.45821590547297664
27,0.0007983903875166012,0.125,0.1,0.0011098779134295228,0.017180073943418323,0.06943122193677727
28,0.05775763267025957,1.0,0.8,0.012965964343598054,0.14968081357492108,0.7510916729774053
29,0.013911019628432393,0.5,0.4,0.0061633281972265025,0.07120520107962225,0.32905177009446723
30,0.007061427405037941,0.16666666666666666,0.2,0.0049504950495049506,0.06430173927515032,0.1478294909154526
31,0.0007393319387928553,0.16666666666666666,0.1,0.0026954177897574125,0.012632675548757836,0.07839826897867533
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.00022987169467940892,0.013333333333333334,0.0,0.0,0.005822317852021668,0.0
34,0.0005936986613315115,0.043478260869565216,0.0,0.0,0.010745680842982778,0.0
35,0.007712625761120587,1.0,0.2,0.008368200836820083,0.046593781326739435,0.25929090078741784
36,0.013604281335806158,1.0,0.6,0.008862629246676515,0.06615063607438933,0.6906478832608419
37,0.002516980246855758,0.08333333333333333,0.0,0.0,0.024932529774081554,0.0
38,0.007839002607772512,0.5,0.5,0.0036153289949385392,0.04333935696953347,0.46299204139243627
39,0.015101389778134857,1.0,0.7,0.007164790174002047,0.058910299594553635,0.46700390558832394
40,0.01003347229206237,0.5,0.5,0.008503401360544218,0.05544674909195569,0.4037626302686116
41,0.045997519155622266,1.0,0.6,0.016853932584269662,0.15502780748841735,0.6413674997615212
42,0.0022219216879697194,0.03333333333333333,0.0,0.0,0.030505899705014782,0.0
43,0.04325720150497608,0.5,0.6,0.02,0.13467743611763477,0.5160457231896907
44,0.0023371957959107087,0.5,0.2,0.0036900369003690036,0.025436281132325492,0.21222636597291458
45,0.043448631387160125,1.0,1.0,0.011098779134295227,0.10883078261213087,0.7596592991547714
46,0.009060493002190296,1.0,0.2,0.01,0.04203257890669668,0.16506882472356013
47,0.00013244067041851253,0.038461538461538464,0.0,0.0,0.004322564233155927,0.0
48,0.004999176158087484,1.0,0.1,0.002079002079002079,0.0345947275789105,0.11004588314904008
49,0.007170856879412425,0.125,0.1,0.003745318352059925,0.06885835766625377,0.06943122193677727
50,0.0019937988147101533,0.1111111111111111,0.1,0.006711409395973154,0.017582862350910812,0.033127111727194514
