qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.0019389967054517466,1.0,0.1,0.001430615164520744,0.021256118819124495,0.22009176629808017
2,0.0005589205992637427,0.017857142857142856,0.0,0.0,0.01697078434864559,0.0
3,0.04712426127420115,0.5,0.7,0.010736196319018405,0.139371224311046,0.5757304331615976
4,2.0041686708353376e-05,0.011363636363636364,0.0,0.0,0.0013153776480935573,0.0
5,0.006651045969452882,0.5,0.2,0.0030959752321981426,0.042623043368676575,0.18143400269436502
6,0.02883012846550996,1.0,0.8,0.008048289738430584,0.0929556381276175,0.8389574121760602
7,0.0604994109511779,1.0,0.8,0.015267175572519083,0.15369955594457785,0.8115558478722846
8,0.0008067727458644747,0.25,0.1,0.0015432098765432098,0.008004602587871062,0.04739418218477539
9,0.00047303175293605915,0.0625,0.0,0.0,0.014455276662939644,0.0
10,0.004880893275546912,1.0,0.3,0.006036217303822937,0.04065334641020809,0.36885567213865283
11,0.00035422094245623657,0.1111111111111111,0.1,0.0022624434389140274,0.009574212438307332,0.06625422345438903
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0012319990596868357,0.09090909090909091,0.0,0.0,0.013580751616711156,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.006248733418748722,1.0,0.3,0.006726457399103139,0.04456966812119519,0.251902160397556
16,0.010572852272301524,1.0,0.4,0.00975609756097561,0.05347856118722795,0.4537425745411855
17,0.023794485438702263,1.0,1.0,0.01394700139470014,0.06982502768607204,0.692155676302204
18,0.015405425445293037,0.5,0.8,0.012012012012012012,0.06029762861563233,0.5998904978468941
19,0.07498512883128267,1.0,0.7,0.05982905982905983,0.20943860377846762,0.6897090164732205
20,0.011774978367218907,1.0,0.7,0.009247027741083224,0.054920626804934945,0.7258435322289963
21,0.006673498040971313,0.25,0.3,0.0045662100456621,0.041867299910567146,0.24936270394794902
22,0.006121427984723425,1.0,0.3,0.005042016806722689,0.04834716410801461,0.42520843362602373
23,0.049620786798590194,1.0,1.0,0.02531645569620253,0.14896491960146907,1.0
24,0.017552081288923393,1.0,0.7,0.015555555555555555,0.07783417824582592,0.7591402384099978
25,0.001209385783298827,0.045454545454545456,0.0,0.0,0.01711654330852973,0.0
26,0.0017085357408647055,0.16666666666666666,0.1,0.001201923076923077,0.019020895207766696,0.07839826897867533
27,2.774694783573807e-05,0.025,0.0,0.0,0.001145113855950438,0.0
28,0.018002118418166287,1.0,0.8,0.012965964343598054,0.06748959545761198,0.8200685179888283
29,0.009163595190419172,1.0,0.5,0.007704160246533128,0.058355949751018515,0.5478527392247046
30,0.1011336969244927,1.0,1.0,0.024752475247524754,0.21356375097269661,0.8831745958784475
31,0.0019554493210598585,0.2,0.2,0.005390835579514825,0.020893766627098107,0.11695351174109685
32,0.005085540006775447,1.0,0.1,0.004366812227074236,0.04093213597690076,0.22009176629808017
33,0.04425765953422846,1.0,0.4,0.013029315960912053,0.13802911913897623,0.3544604940615278
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.008368200836820083,1.0,0.2,0.008368200836820083,0.04317079810340275,0.3589542101716347
36,0.019999994199949706,0.3333333333333333,0.3,0.004431314623338257,0.07866584309363427,0.28323251649726616
37,0.014542110809467807,0.2,0.5,0.009746588693957114,0.05115732968031535,0.21558859771522956
38,0.008755033545392353,1.0,0.6,0.004338394793926247,0.0486062648178441,0.6809047493604335
39,0.029188709561024467,1.0,1.0,0.01023541453428864,0.07100680108773118,0.6769402865842581
40,0.011914346726808299,1.0,0.6,0.01020408163265306,0.060253024722319894,0.6724188141163405
41,0.08419775511470312,1.0,0.9,0.025280898876404494,0.1939291302120823,0.862464466343322
42,0.12484611620492768,1.0,1.0,0.03597122302158273,0.2409255785086769,1.0
43,0.021914632151474257,1.0,0.6,0.02,0.09164259981208077,0.6807419694313224
44,0.06706016781395739,1.0,0.9,0.016605166051660517,0.16811663791255768,0.8899541168509599
45,0.0009248982611912689,0.5,0.2,0.0022197558268590455,0.00855831675503005,0.1780615783628922
46,0.03392921146953405,1.0,0.7,0.035,0.11550183897944247,0.6473430760906524
47,0.0022209786437073415,0.16666666666666666,0.2,0.004291845493562232,0.025564059869828015,0.15176219107803537
48,0.026397412919461283,1.0,0.9,0.018711018711018712,0.10155702050813935,0.9216017310213247
49,0.021204673532581497,1.0,0.3,0.011235955056179775,0.10490991165639374,0.3041679095325356
50,0.053253884543366894,0.5,0.5,0.03355704697986577,0.16026969565561772,0.3487242237467647
