qid,MAP,MRR,P@10,Recall@10,NDCG,NDCG@10
1,0.13176214511024112,0.08333333333333333,0.0,0.0,0.6630234048813212,0.0
2,0.14433533266483053,0.25,0.6,0.01791044776119403,0.6877506387507171,0.46474568322493615
3,0.08643313451952768,0.25,0.6,0.009202453987730062,0.6364787796001622,0.3748472604488906
4,0.05625004071671388,0.02564102564102564,0.0,0.0,0.582671769308052,0.0
5,0.01872486487879172,0.3333333333333333,0.3,0.0046439628482972135,0.5137223709723988,0.1615139754010746
6,0.23301185487437814,0.5,0.6,0.006036217303822937,0.7778133073242725,0.5114531979843772
7,0.16546630387455702,0.3333333333333333,0.5,0.009541984732824428,0.709287723639822,0.40160493302575007
8,0.02627660100164582,1.0,0.6,0.009259259259259259,0.5456225286713714,0.3980500837032646
9,0.11569093730924922,0.14285714285714285,0.3,0.014354066985645933,0.5836524730551789,0.13988992716722454
10,0.14835737058343992,0.16666666666666666,0.2,0.004024144869215292,0.6761308845143587,0.11508023002835537
11,0.013989034324914107,0.0625,0.0,0.0,0.48885935652324725,0.0
12,0.06025360841635448,0.3333333333333333,0.2,0.0030864197530864196,0.5819753420643137,0.08973855254290868
13,0.051609529864478546,0.07692307692307693,0.0,0.0,0.5988757347851896,0.0
14,0.08524437374682892,1.0,0.9,0.03296703296703297,0.5808410854642313,0.8293271620269695
15,0.016179259884816447,0.09090909090909091,0.0,0.0,0.49446200873944496,0.0
16,0.11133199677749965,1.0,0.8,0.01951219512195122,0.6335797343957668,0.6929061056242297
17,0.13248185338013113,1.0,0.5,0.00697350069735007,0.672523936936691,0.48528118702718587
18,0.27435552652697914,0.5,0.4,0.006006006006006006,0.7320895768527482,0.3203058990406633
19,0.20492436715763168,1.0,0.7,0.05982905982905983,0.6166638631724475,0.5027640069642364
20,0.29484600897354907,1.0,0.8,0.010568031704095112,0.7821784632672631,0.7833003030952942
21,0.13319793415934092,0.5,0.2,0.0030441400304414,0.7009045153036645,0.21222636597291458
22,0.09903056589315808,1.0,0.6,0.010084033613445379,0.6589994075714141,0.5248010467162382
23,0.14237420062967904,0.25,0.3,0.007594936708860759,0.6416438610019292,0.20341872079566573
24,0.3719919531392399,1.0,0.9,0.02,0.8022667668779695,0.8813562702265283
25,0.03213840430023391,0.5,0.3,0.0052173913043478265,0.5677599451346932,0.2632046960045132
26,0.13461199081756298,0.5,0.6,0.007211538461538462,0.7146870134317579,0.5404673768993046
27,0.1325742157956069,0.5,0.4,0.004439511653718091,0.6841259247982957,0.32234196068251586
28,0.3309245194668411,1.0,0.7,0.011345218800648298,0.794552121908884,0.7846170207230129
29,0.05596616778936663,1.0,0.2,0.0030816640986132513,0.6095839080123807,0.1431729948762346
30,0.25681998880680096,1.0,1.0,0.024752475247524754,0.7393867703047095,0.9652843890316114
31,0.02843062154845501,1.0,0.2,0.005390835579514825,0.5360552096762737,0.3589542101716347
32,0.011313041224589185,0.3333333333333333,0.1,0.004366812227074236,0.4553711478000396,0.11004588314904008
33,0.10180324324597148,1.0,0.4,0.013029315960912053,0.6305668565652249,0.416760264645571
34,0.009395608409808577,0.045454545454545456,0.0,0.0,0.4211680349816636,0.0
35,0.20175611580773822,1.0,0.9,0.03765690376569038,0.7138595820507203,0.9363792118010483
36,0.24746739095154216,0.5,0.8,0.011816838995568686,0.7754616870437127,0.7104770117651426
37,0.07241935076682328,1.0,0.5,0.009746588693957114,0.6306394512278967,0.642186726668901
38,0.19619422144062854,1.0,0.9,0.006507592190889371,0.7571334350533194,0.7415583376298142
39,0.31750464837608383,1.0,0.9,0.009211873080859774,0.7749940382211826,0.736226377741746
40,0.23986206485625972,1.0,0.9,0.015306122448979591,0.7698440219737692,0.8363467019993649
41,0.30248682026002194,1.0,1.0,0.028089887640449437,0.749179881890532,0.9334739949321357
42,0.34362137184017666,1.0,1.0,0.03597122302158273,0.7315082619509956,1.0
43,0.06093990734093745,1.0,0.6,0.02,0.5755014569489861,0.6412512379457415
44,0.2907519616825052,1.0,0.7,0.012915129151291513,0.7555255374909807,0.7543849332755732
45,0.3992785401593333,1.0,1.0,0.011098779134295227,0.822600444655519,0.8815473456401717
46,0.08555051329770505,1.0,1.0,0.05,0.5412458140972742,0.7779513360933721
47,0.1346152844296746,0.16666666666666666,0.1,0.002145922746781116,0.6605940564414291,0.039199134489337664
48,0.2931096341758039,1.0,1.0,0.02079002079002079,0.7596082271540425,1.0
49,0.047692824989543955,0.1111111111111111,0.1,0.003745318352059925,0.5295372750794975,0.06625422345438903
50,0.09201188949292013,0.5,0.6,0.040268456375838924,0.5653715332474867,0.47700936862946397
